ID,PDB_ID,Subset,Complex_Type,Resolution,Affinity_Data,pKd_pKi_pIC50,Release_Year,Protein_Name,Pubmed_ID,Pubchem_SID,Reference,UniProt_AC,Formula,Molecular_Weight,Exact_Mass,No._of_atoms,No._of_bonds,Polar_Surface_Area,XLOGP3,open_banel_LogP,HB_donor,HB_acceptor,Rotatable_bonds,SMILES
31,1ajq,refined,Protein-Ligand,2.05,Ki=0.049mM,4.31,1997,penicillin amidohydrolase,9813130,46391438,"J.Mol.Biol. v284 pp. 463-75, 1998",P06875,C6H5O2S,142.176,142.009,15,15,65.54,2.54,1.38,0,2,1,OC(=O)Cc1cccs1
32,1ajv,refined,Protein-Ligand,2,Ki=19.1nM,7.72,1997,HIV-1 protease,9083478,46391439,"J.Med.Chem. v40 pp. 898-902, 1997",P03366,C32H34N2O6S,574.687,574.214,75,79,107.92,4.42,4.82,2,4,12,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(S(=O)(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
33,1ajx,refined,Protein-Ligand,2,Ki=12.2nM,7.91,1997,HIV-1 protease,9083478,46391440,"J.Med.Chem. v40 pp. 898-902, 1997",P03366,C33H34N2O5,538.633,538.247,74,78,82.47,4.73,4.62,2,3,12,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(C(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
34,1alw,refined,Protein-Ligand,2.03,Ki=0.3uM,6.52,1998,calpain,9228946,46391449,"Nat.Struct.Biol. v4 pp. 539-47, 1997",P04574,C9H9O2S,182.239,182.04,22,22,76.1,2.98,1.61,0,2,3,S[C@H](C(=O)O)Cc1ccccc1
35,1amk,refined,Protein-Ligand,1.83,Ki=50uM,4.3,1997,TRIOSE PHOSPHATE ISOMERASE,10235625,53812524,"Protein Engineering. 1999, 12, 243-250.",P48499,C2H2O6P,157.039,156.99,15,14,120.81,-1.24,-1.26,0,5,1,OC(=O)COP(O)(O)O
36,1amw,refined,Protein-Ligand,1.85,Kd=29uM,4.54,1998,heat shock protein 90,9230303,46391451,"Cell v90 pp. 65-75, 1997",P02829,C10H12N5O10P2,429.217,429.045,44,46,266.1,-4.89,-2.04,3,10,7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
37,1apv,refined,Protein-Ligand,1.8,Ki=1nM,9,1994,penicillopepsin,1567842,46391455,"Biochemistry v31 pp. 3872-86, 1992",P00798,C24H44N4O6F2,522.626,522.323,80,79,156.86,2.58,2.47,6,6,20,CNC(=O)C(C([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)(O)O)(F)F
38,1atl,refined,Protein-Ligand,1.8,Ki=0.52uM,6.28,1995,atrolysin c,8078901,46391464,"Proc.Natl.Acad.Sci.USA v91 pp. 8447-51, 1994",P15167,C17H24NO4S,339.45,339.15,48,48,114.43,3.93,2.79,1,3,10,SC[C@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)OC)CC(C)C
39,1atr,refined,Protein-Ligand,2.34,Kd=110nM,6.96,1993,"HEAT-SHOCK COGNATE 70 KD PROTEIN, HSC70",20608738,0,"(2010) J. Med. Chem., Vol.53, pp.7280-7286",P19120,C10H12N5O10P2,429.217,429.045,44,46,266.1,-4.89,-2.04,3,10,7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
40,1avn,refined,Protein-Ligand,2,Kd=0.125mM,3.9,1997,carbonic anhydrase ii,9265618,46391469,"Biochemistry v36 pp. 10384-92, 1997",P00918,C5H10N3,112.153,112.087,18,18,56.32,-0.58,-0.81,2,1,2,C(c1cnc[nH]1)C[NH3+]
41,1ax0,refined,Protein-Ligand,1.9,Kd=0.746mM,3.13,1998,lectin,9545381,46391475,"J.Mol.Biol. v277 pp. 917-32, 1998",P16404,C8H15NO6,221.208,221.09,30,30,119.25,-2.59,-2.69,5,5,7,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NC(=O)C
42,1azm,refined,Protein-Ligand,2,Ki=0.8uM,6.1,1994,human carbonic anhydrase I enzyme (HCAI),3735316,0,"(1986) J. Med. Chem., Vol.29, pp.1488-1494",P00915,C4H6N4O3S2,222.245,221.988,19,19,151.66,-1.23,1,2,5,3,CC(=O)Nc1nnc(s1)S(=O)(=O)N
43,1b05,refined,Protein-Ligand,2,Kd=75nM,7.12,1998,oligo-peptide binding protein,10438628,46391486,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C15H33N5O4S,380.527,380.233,59,58,217.22,-3.17,-2.81,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CS)[NH3+]
44,1b0h,refined,Protein-Ligand,1.9,Kd=0.20uM,6.7,1998,oligo-peptide binding protein,10422831,46391488,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C25H39N5O4,474.616,474.308,74,75,178.42,-0.25,-0.35,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1cccc2c1cccc2)[NH3+]
45,1b1h,refined,Protein-Ligand,1.8,Kd=0.093uM,7.03,1998,oligo-peptide binding protein,10422831,46391490,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C22H39N5O4,438.584,438.308,71,71,178.42,-1.15,-1.11,5,4,17,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCc1ccccc1)[NH3+]
46,1b2h,refined,Protein-Ligand,1.9,Kd=29uM,4.54,1998,oligo-peptide binding protein,10422831,46391491,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C17H39N6O4,392.537,392.311,67,66,206.06,-3.69,-3.72,6,4,17,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC[NH3+])[NH3+]
47,1b32,refined,Protein-Ligand,1.75,Kd=79nM,7.1,1998,oligo-peptide binding protein,10438628,46391493,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C17H37N5O4S,408.58,408.264,65,64,203.72,-2.45,-1.99,5,4,17,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCSC)[NH3+]
48,1b38,refined,Protein-Ligand,2,Kd=0.254uM,6.6,1998,cyclin dependent kinase 2,10085115,46391494,"J.Biol.Chem. v274 pp. 8746-56, 1999",P24941,C10H12N5O13P3,510.205,510.019,50,52,329.38,-6.07,-2.36,3,12,9,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
49,1b3f,refined,Protein-Ligand,1.8,Kd=130nM,6.89,1998,oligo-peptide binding protein,10438628,46391496,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C18H35N7O4,414.523,414.283,65,65,207.1,-3.33,-2.78,6,5,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1[nH]cnc1)[NH3+]
50,1b3g,refined,Protein-Ligand,2,Kd=200nM,6.7,1998,oligo-peptide binding protein,10438628,46391497,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C18H39N5O4,390.541,390.308,67,66,178.42,-1.77,-1.7,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])[C@H](CC)C)[NH3+]
51,1b3h,refined,Protein-Ligand,2,Kd=0.62uM,6.21,1998,oligo-peptide binding protein,10422831,46391498,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C21H43N5O4,430.605,430.339,74,74,178.42,-0.36,-0.77,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC1CCCCC1)[NH3+]
52,1b3l,refined,Protein-Ligand,2,Kd=1300nM,5.89,1998,oligo-peptide binding protein,10438628,46391499,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C14H31N5O4,334.435,334.245,55,54,178.42,-3.49,-3.11,5,4,14,[NH3+]CCCC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)O)CCCC[NH3+])[NH3+]
53,1b40,refined,Protein-Ligand,2.2,Kd=53nM,7.28,1999,oligo-peptide binding protein,10438628,46391500,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C21H37N5O4,424.558,424.292,68,68,178.42,-1.5,-1.5,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1ccccc1)[NH3+]
54,1b46,refined,Protein-Ligand,1.8,Kd=5200nM,5.28,1999,oligo-peptide binding protein,10438628,46391502,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C17H35N5O4,374.499,374.277,62,62,169.63,-2.79,-2.69,4,4,13,[NH3+]CCCC[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCC[NH3+])[NH3+]
55,1b4h,refined,Protein-Ligand,1.9,Kd=3.44uM,5.46,1998,oligo-peptide binding protein,10422831,46391504,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C16H37N6O4,378.511,378.295,64,63,206.06,-4.04,-4.11,6,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC[NH3+])[NH3+]
56,1b4z,refined,Protein-Ligand,1.75,Kd=5900nM,5.23,1999,oligo-peptide binding protein,10438628,46391505,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C16H32N5O6,392.471,392.251,61,60,215.72,-4.8,-3.27,5,6,15,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)O)[NH3+]
57,1b51,refined,Protein-Ligand,1.8,Kd=43nM,7.37,1999,oligo-peptide binding protein,10438628,46391506,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C15H33N5O5,364.461,364.256,59,58,198.65,-4.14,-3.75,6,5,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CO)[NH3+]
58,1b52,refined,Protein-Ligand,2.3,Kd=76nM,7.12,1999,oligo-peptide binding protein,10438628,46391507,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C16H35N5O5,378.488,378.272,62,61,198.65,-3.71,-3.36,6,5,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])[C@H](O)C)[NH3+]
59,1b55,refined,Protein-Ligand,2.4,Kd=40nM,7.4,1999,tyrosine kinase btk,10196129,46391508,"Structure Fold.Des. v7 pp. 449-60, 1999",Q06187,C6H8O18P4,504.107,503.96,48,48,374.5,-8.74,-5.12,2,14,6,O[C@@H]1[C@H](OP(O)(O)O)[C@@H](OP(O)(O)O)[C@@H]([C@H]([C@@H]1OP(O)(O)O)O)OP(O)(O)O
60,1b57,refined,Protein-Ligand,2,Ki=0.01uM,8,2000,"Escherichia coli class II fructose-1, 6-bisphosphate aldolase",16236509,0,"(2005) Bioorg. Med. Chem. Lett., Vol.15, pp.5375-5377",P0AB71,C2H4NO6P,172.054,172.001,17,16,132.84,-2.86,-1.45,2,5,4,ONC(=O)COP(O)(O)O
61,1b58,refined,Protein-Ligand,1.8,Kd=260nM,6.59,1999,oligo-peptide binding protein,10438628,46391509,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C21H37N5O5,440.557,440.287,69,69,198.65,-1.86,-1.79,6,5,17,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1ccc(cc1)O)[NH3+]
62,1b5h,refined,Protein-Ligand,1.9,Kd=0.97uM,6.01,1998,oligo-peptide binding protein,10422831,46391511,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C15H35N6O4,364.484,364.28,61,60,206.06,-4.4,-4.5,6,4,15,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])C[NH3+])[NH3+]
63,1b5i,refined,Protein-Ligand,1.9,Kd=90nM,7.05,1999,oligo-peptide binding protein,10438628,46391512,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C16H34N6O5,391.486,391.267,62,61,221.51,-4.61,-3.17,6,5,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)N)[NH3+]
64,1b5j,refined,Protein-Ligand,1.8,Kd=37nM,7.43,1999,oligo-peptide binding protein,10438628,46391513,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C17H36N6O5,405.513,405.283,65,64,221.51,-4.26,-2.78,6,5,17,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC(=O)N)[NH3+]
65,1b6h,refined,Protein-Ligand,1.8,Kd=0.015uM,7.82,1998,oligo-peptide binding protein,10422831,46391514,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C17H37N5O4,376.515,376.292,64,63,178.42,-2.21,-1.94,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC)[NH3+]
66,1b6j,refined,Protein-Ligand,1.85,Ki=12nM,7.92,2000,HIV-1 protease,10387041,46391515,"Biochemistry v38 pp. 7978-88, 1999",P03369,C34H54N7O8,688.835,688.403,103,105,236.48,0.49,2.22,8,7,16,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N)C(C)C)NC(=O)[C@@H]1CCC[N@H+]1C[C@@H]([C@H]1NC(=O)[C@H](CC(=O)N)NC(=O)CCCOc2ccc(C1)cc2)O)C
67,1b6k,refined,Protein-Ligand,1.85,Ki=1.8nM,8.74,2000,HIV-1 protease,10387041,46391516,"Biochemistry v38 pp. 7978-88, 1999",P03369,C37H54N5O7,680.854,680.402,103,106,173.91,4.18,2.02,6,6,15,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@@H](NC(=O)[C@@H](N2CCCC2=O)C(C)C)Cc2ccc(cc2)O)O)Cc2ccc(OCCCNC1=O)cc2)C
68,1b6l,refined,Protein-Ligand,1.75,Ki=5nM,8.3,2000,HIV-1 protease,10387041,46391517,"Biochemistry v38 pp. 7978-88, 1999",P03369,C28H44N5O6,546.679,546.329,83,85,164.29,0.46,2.28,6,5,9,NC(=O)C[C@@H]1NC(=O)CCCOc2ccc(C[C@H](NC1=O)[C@@H](C[N@@H+]1CCCC[C@H]1C(=O)NC(C)(C)C)O)cc2
69,1b7h,refined,Protein-Ligand,2,Kd=0.0095uM,8.02,1998,oligo-peptide binding protein,10422831,46391521,"Protein Sci. v8 pp. 1432-44, 1999",P06202,C18H39N5O4,390.541,390.308,67,66,178.42,-1.67,-1.55,5,4,17,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCCC)[NH3+]
70,1b8n,refined,Protein-Ligand,2,Ki=30pM,10.52,1999,purine nucleoside phosphorylase,12463747,46391522,"Biochemistry v41 pp. 14489-98, 2002",P55859,C11H16N5O4,282.276,282.12,36,38,164.86,-2.88,-1.32,7,4,5,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc(N)[nH]c2=O
71,1b8o,refined,Protein-Ligand,1.5,Ki=23pM,10.64,1999,purine nucleoside phosphorylase,11170405,46391523,"Biochemistry v40 pp. 853-60, 2001",P55859,C11H15N4O4,267.261,267.109,34,36,138.84,-2.3,-1.48,6,4,5,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
72,1b8y,refined,Protein-Ligand,2,Ki=14nM,7.85,1999,stromelysin-1,10422833,46391524,"Protein Sci. v8 pp. 1455-62, 1999",P08254,C19H21N2O4S,374.454,374.13,48,50,95.09,3.73,3.97,1,4,5,OC(=O)CNS(=O)(=O)c1ccc(cc1)N1CCC(CC1)c1ccccc1
73,1b9j,refined,Protein-Ligand,1.8,Kd=1100nM,5.96,1999,oligo-peptide binding protein,10438628,46391525,"J.Mol.Biol. v291 pp. 393-415, 1999",P06202,C18H39N5O4,390.541,390.308,67,66,178.42,-1.77,-1.7,5,4,16,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(C)C)[NH3+]
